Time Series(unit:MWh);BJ;TJ;HB;SX;NM;LN;JL;HL;SH;JS;ZJ;AH;FJ;JX;SD;HA;HB;HN;GD;GX;HI;CQ;SC;GZ;YN;XZ;SN;GS;QH;NX;XJ
61;17378.86179;10994.94991;50319.36648;29184.4996;38578.28973;28676.60583;10671.57093;13311.80343;21850.84747;76600.12632;51705.85753;25691.26341;26697.27451;17394.7257;74178.64141;47225.61938;25654.71984;26054.84942;70314.74681;20751.16081;3557.642489;13324.91522;31677.18674;23321.07978;22023.84237;947.7822598;22758.07423;16084.95467;8687.029132;9469.430993;31775.87612
62;17260.13391;11091.29327;48683.93825;28163.10727;37843.29945;28889.90822;10782.01717;12830.60609;22052.2089;79877.56137;55758.10862;26946.23849;26218.82243;17898.62651;73804.62061;48973.20871;27399.67595;26568.28349;68750.88085;20611.17645;3223.620087;13514.32942;32253.60981;21380.8476;20100.61989;889.8843058;23368.4033;15418.68521;9057.176584;9648.813687;31830.51288
63;17232.02963;11332.37719;49248.87027;27690.66026;37671.24327;29526.08688;10870.08792;13053.09675;22138.65112;79911.69156;57239.35905;26939.97765;27335.61153;18755.77042;75359.2964;48007.50006;27938.74901;26561.80639;76228.27357;21367.7936;3132.928493;14091.14532;32707.32105;21348.89739;20084.81019;848.7268712;23250.07951;15143.2476;9090.03246;9618.174508;31690.04064
64;17113.08613;11387.40578;50428.0999;28006.71497;38238.30412;29338.5612;11001.27365;13079.2389;21670.29862;79964.20037;56813.61906;26670.63935;27172.02041;18921.95421;76154.34695;47202.17049;27855.7175;25498.9861;77825.84258;22237.57832;3109.298619;14375.28489;32862.50571;21637.48219;20459.29224;852.9690823;23249.3433;15023.70041;9264.11094;9803.323722;31483.61402
65;17278.86617;11382.13791;50065.04269;28197.08099;38470.25306;29661.26616;11163.31529;13785.09905;21662.17764;78677.50579;56530.55196;26244.22665;27360.35474;18962.70038;74888.66777;46499.57656;27400.12308;25086.33046;77750.93383;22129.93498;3248.991286;14797.12722;32403.85608;21322.83467;20991.38005;871.2300126;23096.56161;15214.36825;9200.661157;9795.413264;31598.6282
66;17349.43065;11327.49469;50990.83414;29211.06516;39430.43975;29027.43547;11327.79178;14536.05204;20934.92019;75762.73528;53716.95033;25766.43508;27250.44095;18861.997;74000.80853;45175.78905;26570.43986;25719.04876;76581.60009;22625.89048;3848.787659;14628.78106;32053.61111;22995.27156;22649.08301;912.8232705;23066.40067;15987.56374;8898.785091;10288.25611;31749.21944
67;17114.25639;10921.63117;50198.30858;29218.80828;39769.6812;28330.5811;10935.98873;13743.49933;19815.43404;71520.23253;48307.84499;24143.82622;26227.76564;17728.6123;71312.01551;44211.4421;24057.29635;23951.64865;68516.87968;21491.68676;3841.735243;13815.22145;30613.44593;23439.49151;23289.77225;912.7483553;22461.62713;16365.36335;8862.640973;10471.60767;31830.4975
68;16876.45042;10499.11372;49130.48437;28896.84058;39865.37992;27996.29006;10764.69936;13473.03833;19621.068;71856.5039;47751.04149;24366.78216;25685.332;16879.52649;69318.7344;42456.60577;22296.72353;22767.18719;68701.74812;20529.06249;3800.879881;12761.72625;29351.51397;22923.87803;22080.98279;899.6369238;21544.31548;16019.52204;9126.927293;10471.41482;32178.33804
69;17084.92907;10637.06211;49865.38335;29615.57118;39656.31362;28853.21071;10954.88276;13626.5044;19678.97283;75980.29547;49177.79633;27838.5646;25851.42279;19257.48723;69323.40122;44387.52429;25145.21496;26047.67058;69597.47796;21900.68719;4271.553967;12859.61168;29378.82638;23682.7705;22052.43077;912.3638639;22345.85699;15562.64767;9051.010384;10578.27643;32117.82128
70;16946.91161;10402.14378;50288.56615;28896.22481;39298.63213;28610.66892;10414.81836;12889.07332;19623.9498;76239.52463;49578.55206;28191.65893;26228.89963;20636.85383;67611.78888;46275.41527;26868.64911;27299.175;69236.63522;22111.75658;4027.241748;13802.26201;31864.14223;22865.87359;22053.60324;1032.823806;23233.13243;15905.18287;9207.694008;10651.01614;31996.75246
71;16191.82888;9949.142611;48809.96918;28216.91507;38726.00257;29449.55866;9674.006648;11876.89443;19109.7187;73706.29546;49169.32771;26800.24188;26616.6359;20220.67035;66651.73507;45163.51404;26493.27444;26002.40635;68549.51454;22092.89297;3629.875188;13140.91843;31216.41209;21417.30469;21090.29866;1017.888144;22519.49343;15257.6605;8836.52811;10364.65884;32294.2855
